MATCH	Form	Root	Nominal_class	Meaning_de	Pages	Coptic_S	Coptic_B	Coptic_A	Coptic_A2	Coptic_Fs	Coptic_F	Coptic_M	Coptic_Sf	Coptic_O	Coptic_H	Coptic_Sa	Coptic_V	Coptic_ManiHPK	Coptic_Mf	Coptic_Sh	Coptic_Bf	Coptic_Copt_undefined
385	*ẖ'adbvt	ẖdb	A'aBCut	Tötung; Geötetes	67	ϩⲟⲧⲃⲉⲥ																
386	*ḫ'eftvj	ḫft		Feind	315	ϣⲁϥⲧ, ϣⲁϥⲧⲉ																
387	ḫft	ḫft		fehlgehen	67, 502	ϣⲱϥⲧ																
390	*ḥ(a)fꜣ'a:y.vw	ḥfꜣy.	A'aBCaw	Schlange	32, 166, 488, 669	ϩⲃⲟⲩⲓ	ϩⲃⲟⲩⲓ															
391	*ḥ'afꜣ(a)w	ḥfꜣw	A'aBCaw	Schlange	32, 166, 488, 669	ϩⲟϥ																
392					32, 168, 664																	
393	*ḥ(a)fꜣ'a:w.vt	ḥfꜣw.		Schlange	32, 166, 488, 669																	
397	*ḥ'aḥ	ḥḥ		Milion; unendliche grosse Zahl	869	ϩⲁϩ		ϩⲁϩ	ϩⲁϩ													
398	*ḫ'aḫjv(y)	ḫḫj	A'aBCiw	Staub	235			ⳉⲁⲉⲓⳉ														
401	*hvj'i:bv(j/y)	hjb		Lamm	354, 429, 442, 463	ϩⲓⲉⲓⲃ	ϩⲓⲏⲃ	ϩⲓⲉⲓⲃ	ϩⲓⲉⲓⲃ		ϩⲓⲏⲃ											
402	*hvj'eb(j/y)vt	hjb		Lamm	354, 429, 442, 463	ϩⲓⲁⲃⲉ, ϩⲓⲉⲉⲃⲉ, ϩⲓⲉⲓⲁⲃⲉ	ϩⲓⲉⲃⲓ															
405	*ḥvkꜣ'aw	ḥkꜣw	AaBC'aw	Zauberer	168, 705	ϩⲁⲕⲟ																
406	*ḥ'ikꜣvw	ḥkꜣ	A'iBCaw	Zauber	79, 460, 461	ϩⲓⲕ	ϩⲓⲕ	ϩⲓⲕ	ϩⲓⲕ	ϩⲏⲕ	ϩⲓⲕ	ϩⲓⲕ										
407	*ḥvk'a:ꜣ(u)w	ḥkꜣw	AaB'a:Cuw	Zauberer	168, 184, 342, 483, 705		ⲁⲭⲱ															
411	*hvjm'e:(y)vt	hjm	A'aBCiw	Welle; Flut	236, 291, 654	ϩⲓⲙⲏ																
412	*h'annvw	hnn	A'aBCiw	Welle; Flut	236, 291, 654	ϩⲟⲉⲓⲙ																
414	*ḥ(a)m'e/it	ḥmt	AiBC'it	Pflock; Pfahl	139, 410	ϩⲁⲙⲉ																
415	*ḥ'umjiw	ḥmjw		Ruder	412, 689	ϩⲉⲛⲉⲓⲉ, ϩⲓⲛⲓⲉ																
417	*ḥ'umjiw	ḥmjw	A'uBCiw	Steuerruder	177	ϩⲙⲙⲉ, ϩⲉⲙⲓ																
418	*ḥ(e)mj'ew	ḥmjw	AuBC'iw	Steuerruder	177, 412	ϩⲓⲉ	ϩⲓⲉ															
419	*ḥ'am	ḥm	A'i:BaC	Art Keule; Schlegel	139		ϩⲟⲙ															
420	*ḥ'emw(e)w	ḥmw	A'uBCiw	kunstfertig; Kunstfertiger; Handwerker	180, 493, 673	ϩⲁⲙ-																
421	*ḥ(u)mw'e:/i:yvw	ḥmwy	A'uBCiw	kunstfertig; Kunstfertiger; Handwerker	180, 493, 673	ϩⲙⲏⲩ																
422	*ḥ'amwvw	ḥmw	A'aBCaw	(Sandalen-)Hersteller	168		ϩⲟⲙ															
423	*ḥ(ij/ꜣ)'amwvt	ḥmw		Frau	348, 627, 629	ϩⲓⲙⲉ		ϩⲓⲁⲙⲉ	ϩⲓⲁⲙⲉ		ϩⲓⲁⲙⲓ											
424	*ḥ(ij/ꜣ)'amwvt	ḥmw		Frau	348, 627, 629	ϩⲓⲟⲙⲉ											ϩⲓⲟⲙⲓ					
425	*ḥvm'ej	ḥmj		40	413	ϩⲙⲉ	ϩⲙⲉ					ϩⲙⲏ			ϩⲙⲏ							
430	*ḥ'umḏ	ḥmḏ		Essig	12	ϩⲙϫ	ϩⲉⲙϫ	ϩⲙϫ	ϩⲙϫ													
432	*ẖ'e/immvt	ẖmm	A'iBCat	Hitze; Fieber; Entzündung	83, 472	ϩⲙⲙⲉ			ϩⲙⲙⲉ													
433	*ḫam'a:nvw	ḫmn		Hermopolis	476	ϣⲙⲟⲩⲛ																
435	*ḫvmvn'ej	ḫmnj		80	413	ϧⲁⲙⲛⲉ, ϩⲙⲉⲛⲉ																
437	*ḥvm'es(jvy)	ḥms	AuBC'iw	Gesäss	179	ϩⲙⲁⲓⲥ																
438	ḥmsj	ḥmsj	A'iBCit	sich setzen	55		ϩⲉⲙⲥⲓ															
439	ḥmsj	ḥmsj		sitzen; sich setzen	179	ϩⲙⲟⲟⲥ																
442	*ḥ'emꜣvt	ḥmꜣ		Salz	427	ϩⲙⲟⲩ	ϩⲁⲁⲙⲓ, ϩⲙⲟⲩ															
444	*ḥvmꜣ'etjvw	ḥmꜣtj		Keltertreter	320				ϩⲁⲙⲉⲧⲉ													
445				(nieder)treten; (einenWeg) betreten; keltern	no etym 616	ϩⲱⲙ	ϩⲱⲙⲓ	ϩⲱⲙ	ϩⲱⲙ		ϩⲱⲙ											
448	*h'i:nvw	hn	AuB'i:Ciw	Topf; ein Mass	249, 545	ϩⲓⲛ	ϩⲓⲛ															
453	*ḥvn'e:wvt	ḥnw		Pelikan	654		ϩⲙⲏ															
456	*ḥvn'i:'=	ḥn=		wollen	25	ϩⲛⲁ'=																
460	*ḥvn'ewwvw	ḥnw	AaB'u:Cvw	Topf; Gefäss; Sache	201, 386, 427	ϩⲛⲁⲁⲩ					ϩⲛⲉⲉⲩ											
461	*ḥvn'ew	ḥnw	AaB'u:Cvw	Topf; Gefäss; Sache	201, 386, 427	ϩⲛⲁⲩ, ϩⲛⲟⲩ																
462	*ḥ'anwvt	ḥnw	AaB'aCwvt	Becher; Napf	186	ϩⲟⲙⲉ																
463	*ḥ'a:nvt	ḥn	A'iBCit	Wasserlauf; Wasserbecken	139	ϩⲱⲛⲉ																
464	ẖnj	ẖnj		rudern	689	ϩⲓⲛⲉ																
468	*ḫ'endvt	ḫnd	A'uBCit	Gewebe	230	ϣⲛⲧⲉ																
469	*ḫ'andvt/(y)	ḫnd		zusammenbinden; flechten	793	ϣⲟⲛⲧⲉ																
470	ḫnd	ḫnd		flechten	230	ϣⲱⲛⲧ																
475	ḫnmnm	ḫnmnm	AiB'iCDiE	brüten, nisten	57		ϣⲗⲉⲙⲗⲉⲙ															
478	*ẖ'anmvt	ẖnm	A'aBCat	Brunnen; Quelle	124	ϩⲟⲛⲃⲉ																
481	*ẖ'ennvw	ẖnn	A'iBCaw	Störung; Streit	78		ϧⲉⲛⲓ															
482	ẖnn	ẖnn	AaB'aC	sich nähren	46			ⳉⲛⲁⲛ														
483	*ḫ'anpvt	ḫnp	A'aBCut	Diebstahk	67	ⲕⲟⲗⲡⲥ	ⲕⲟⲗⲡⲥ															
484	ḫnp	ḫnp		stehlen; rauben	67, 773	ⲕⲱⲗⲡ																
485	*ḫ(a)n'ap	ḫnp	AaB'aC	Strang; Lappen eines Blattes	221, 306	ϣⲗⲟⲡ																
488	šlt	šlt		Braut	435	ϣⲉⲗⲉⲉⲧ	ϣⲉⲗⲉⲧ	ϣⲉⲗⲉⲉⲧ			ϣⲉⲗⲏⲏⲧ	ϣⲉⲗⲏⲧ			ϣⲏⲗⲏⲧ							
489	*ḫvl'e:(yvy)	ḫl	AaB'u:Cuw	kriechen	101, 500	ϣⲗⲏ			ϣⲗⲏ													
490	*ḫ'al	ḫl	A'i:BaC	Reisszahn; Backen-, herausstehender Zahn	139	ϣⲟⲗ																
491	ḫl	ḫl		rauben: plündern; fliessen	64, 101, 617, 826																	
492	*ḫvlḫ'eltvt	ḫlḫlt		Todesröcheln	337, 853		ϧⲉⲗϧⲉⲗⲧ															
493	*ḫvlḫ'i:lvt	ḫlḫl		Todesröcheln	307, 337	ϩⲉⲗϩⲓⲗⲉ																
494	*ḫ'a:lv(j)	ḫl		heiser sein	307	ϩⲱⲗ, ϩⲱⲗⲉ																
495	*ẖ'anzaw	ẖnzw		Mondgott	352																	
497	*ḥvnt'aꜣsvw	ḥntꜣs		Art Eidechse	368									ⲁⲛⲧⲟⲩⲥ, ϩⲁⲛⲧⲟⲩⲥ								
499	*ḥ'ejpvw	ḥjp	A'uBCiw	Apis-Stier	176, 376	ϩⲁⲡⲉ	ϩⲁⲡⲓ															
500	*ḫvp'e/irj/yvt	ḫprjy	AaB'iCj/wat	das, was geschieht; Ereignis; Wunder	196, 472, 728	ϣⲡⲏⲣⲉ			ϣⲡⲏⲣⲉ													
502	*ḫ'arpvt	ḫrp	A'aBCat	hohle Hand; Handvoll	124		ϧⲟⲣⲡⲥ															
503	*ḫ'a:pvš	ḫpš		Vorderschenkel	808	ϣⲱⲡϣ	ϣⲱⲃϣ, ϣⲱⲡϣ															
507	*ḥ'e:qvr	ḥqr	A'i:BaC	der Hungrige; der Arme, arm	138	ϩⲏⲕⲉ																
508	*ḥ'eꜣqvt	ḥꜣq		ein Kornmass	458	ϩⲏⲕⲉ																
512	*hvr'ewrvw	hrwr		aufhören; nachlassen	517		ϩⲣⲟⲩⲣ															
513	*h'e/irwvt	hrw	A'iBj/wit	still sein; aufhören; ruhig werden	52, 485, 527, 721	ϩⲣⲣⲉ	ϩⲉⲣⲓ															
516	*ḥ(i)lj'e/it	ḥljt	AiBj/w'it	fliegen	61, 296, 318, 407, 479, 845		ϩⲁⲗⲁⲓ															
517	*ḥvr(j)'e/itjvw	ḥrtj		Vogel	318, 429, 521	ϩⲁⲗⲁⲁⲧⲉ, ϩⲁⲗⲁⲧⲉ		ϩⲁⲗⲉⲧⲉ														
518	*ḥvr(j)'e/itjvw	ḥrtj		Vogel	318, 429, 521	ϩⲁⲗⲏⲧ	ϩⲁⲗⲏⲧ	ϩⲁⲗⲉⲉⲧⲉ, ϩⲁⲗⲏⲧ	ϩⲁⲗⲏⲧ		ϩⲁⲗⲏⲧ											
519	*ḥ'ar(j)vt	ḥr	A'aBCat	Motte	121	ϩⲟⲟⲗⲉ																
520	ḥrj	ḥrj	A'a:Baj/w	fliegen	38, 61, 121, 296, 845	ϩⲱⲗ	ϩⲱⲗ	ϩⲱⲗ	ϩⲱⲗ		ϩⲱⲗ											
522	*ḥvrḥ'e:/u:rv(y)	ḥrḥr	AaBA'u:Buw	(be)hüten; bewahren	102, 336, 456	ⲉⲣⲉϩ, ⲉⲣⲏϩ, ϩⲁⲣⲏϩⲉ	ⲁⲣⲉϩ	ⲁⲣⲏϩ	ⲁⲣⲏϩ		ⲁⲗⲉϩ				ϩⲁⲣⲏϩ							
523	*ḥvrw'e:tv(j)	ḥrwt		Wächter	319	ϩⲟⲩⲣⲓⲧ			ϩⲟⲩⲣⲓⲧ													
524	*ḥeryvt	ḥry	A'iBCat	Schrecken; Furcht	85		ϩⲉⲗⲓ															
525	*ḥ'ertvt	ḥrt		Furcht	335	ϩⲣⲧⲉ			ϩⲣⲧⲉ													
526	*ḥar-	ḥr-		auf	350, 476																	
528	*ḥ(a)r'e/iw	ḥrw		oben Befindliches; Oben; Oberseite	314, 386, 388, 410, 447, 476, 862		ϩⲣⲏⲓ		ϩⲣⲏⲓ		ϩⲗⲏⲓ											
529				Weg	no etym 353																	
531	*ḥvr'ajrvj	ḥrjr	AaB'aj/wBaj/w	tragen; getragen	40, 485	ϩⲗⲟⲉⲓⲗⲉ																
532	*ḥ(a)r'e:wvw	ḥrw		jemand; etwas	420, 421, 455, 498		ⲉϩⲗⲓ, ϩⲗⲓ	ϩⲗⲉⲓ														
533	*ḥ'ar	ḥr		Gesicht	350, 355, 420, 498		ⲉϩⲗⲓ, ϩⲗⲓ	ϩⲗⲉⲓ														
536	*hvr'i:(ye)j	hrj	AaB'i:Cij/w	eine Pflanze	193, 493	ϩⲣⲓ																
538	*ḥ'a:rvw	ḥr	AaB'a:Cuw	Horus; 'der Ferne'	185	ϩⲱⲣ																
542	*ḫ'uꜣrv	ḫꜣr		Syrien	443, 444, 445		ϣⲁⲓⲣⲓ, ϣⲁⲣⲓ															
543	*ḫ'u:ra	ḫr		Diener(in)	446, 488	ⳉⲉⲗ, ϩⲁⲗ			ϩⲉⲗ		ϩⲉⲗ											
544	*ḫurr'a:wvw	ḫrrw		Diener(in)	446, 488	ϩⲗⲟⲩⲓⲉ																
545	*ḫvl-ꜥ'aꜣ	ḫl-ꜥꜣ		alter Mann	489, 732	ϩⲗⲗⲟ					ϩⲉⲗⲗⲁ											
546	*ḫvl-ꜥ'aꜣyvw	ḫl-ꜥꜣy		alter Mann	489, 732	ϩⲗⲗⲟⲓ					ϩⲉⲗⲗⲟⲩⲓ											
547	*ḫvr-š'e:/u:rvj	ḫr-šr		Diener(in)	446, 640	ϩⲉⲣϣⲓⲣⲉ, ϩⲣϣⲓⲣⲉ	ϧⲉⲗϣⲓⲣⲉ, ϧⲉⲗϣⲓⲣⲓ	ⳉⲣϣⲓⲣⲉ	ϩⲉⲣϣⲓⲣⲉ, ϩⲣϣⲓⲣⲉ		ϩⲉⲗϣⲏⲣⲓ, ϩⲉⲣϣⲏⲣⲓ											
550	*ḫ'al(y)vt	ḫl	A'aBCut	Plünderung; Beute: Raub	64, 356	ϣⲟⲗⲥ																
554	ḫrw	ḫrw		sagen	583				ϩⲁ'=													
555	*ḫvr'aw	ḫrw	AiB'a:Caw	Stimme; Geräusch	107	ϩⲣⲟⲟⲩ																
556	*ḫ(i)r'aw	ḫrw		Donner	394, 480	ϩⲣⲟⲩⲃⲁⲓ	ϧⲁⲣⲁⲃⲁⲓ, ϧⲣⲟⲩ				ϩⲁⲣⲁ											
557	*ḫ'e/ury.vw	ḫry.			14, 307, 381, 454	ϧⲁⲓⲣ																
558	*ḫ'e:/u:rv(y)	ḫr		Strasse; Weg	14, 307, 381, 454	ϩⲓⲣ	ϧⲓⲣ	ⳉⲓⲣ	ϩⲓⲣ		ϩⲓⲗ	ϩⲓⲣ										
559	*ḫvrḫ'i:rvt	ḫrḫr		Gasse; Strasse	307	ϩⲓⲣϩⲓⲣⲉ																
562	*ẖ(u)r'e/iw	ẖrw		unten Befindliches; Unten; Unterseite	314, 386, 388		ϧⲣⲏⲓ															
563	*ẖ(u)r'e/it	ẖrt		das darunter Befindliche'; Bedarf; Speise	314, 411	ϩⲣⲉ, ϩⲣⲏⲩⲉ	ϧⲣⲉ, ϧⲣⲏⲟⲩⲓ				ϩⲣⲏ	ϩⲣⲏ										
564	ḫAt	ḫAt		wahnsinnig werden, machen	166	ϣⲱⲣⲧ																
565	*ḫ'eprvw	ḫpr		Gestalt	550, 556, 558	ϩⲣⲃ	ϧⲉⲣⲉⲃ	ⳉⲣⲃⲉ	ϩⲣⲃ													
567	*ḫvr'i:ḏv(y)	ḫrḏ	AuB'i:Caw	Knirschen'; heftiger Zahnschmerz	111		ϧⲗⲓϫ, ϧⲣⲓϫ															
568	ḫrḏ	ḫrḏ		knirschen; reiben	584	ϩⲣⲟϫⲣϫ																
570	*ḫvr'ap	ḫrp	AaB'aC	frührer Aufbruch	42				ⲛϩⲣⲁⲡ													
572	*ḫ'arpvt	ḫrp	A'aBCat	Erste	121	ϣⲟⲣⲡⲉ																
574	*ḫvr'e:/u:pvw	ḫrp	AaB'u:Cvw	Schlegel; Stab	202						ϩⲣⲏϥ											
579	*ḥvr'e:/u:švt	ḥrš	AaB'u:Cut	Schwere; Gewicht	100	ϩⲣⲏϣⲉ																
580	ḥrš	ḥrš		schwer werden	100	ϩⲣⲟϣ																
581	*ḫvr'aš	ḫrš	AaB'aC	Bündel	221							ϣⲣⲁϣ										
582	*ḫ'aršv(y)	ḫrš	A'aBCiw	Falte; Runzel; äusserer Fehler	236, 773		ϣⲱⲣϣⲓ															
588	*ḥvzj'e:(w)vt	ḥzj	AsBC'i:wvt	Gelobte; Geachtete	235, 411	ϩⲁⲥⲓⲉ	ⲉcⲓⲉ															
589	*ḥ'e/izwvt	ḥzw	A'iBCat	Lobpreis; Gunst; Ehre; Ruhm	82, 472, 509, 547				ϩⲓⲥⲉ	ϩⲓⲥⲉ												
590	*ḥ'a:z(a)j	ḥzj	A'a:Baj/w	singen, preisen	38, 547	ϩⲱⲥ																
594	ḫsf	ḫsf		sich widersetzen; zurückhalten; verachten	685	ⲥⲱϣϥ	ϣⲱϣϥ	ⳉⲱϣϥ														
597	*ḥ'a:zv(y)	ḥz	A'a:BaC	Faden; Schnur	216, 365	ϩⲟⲩⲥ, ϩⲱⲥ	ϩⲱⲥ				ϩⲱⲥ											
600	*ḫ'i:tvw	ḫt	AuB'i:Ciw	Terrasse mit Treppe; Tenne	250			ⳉⲓⲉⲓⲧ, ⳉⲓⲧ														
601	*ḥ'atẖvt	ḥtẖ	A'aBCaD	Sucher	121		ϧⲟⲧϧⲉⲧ															
606	*ḫvt'emj/yvt	ḫtmjy	AaB'iCj/wat	Verschluss	195, 429	ϣⲧⲁⲙⲉ																
608	*ḫ(a)t'am	ḫtm	AaB'aC	verschliessen	37, 47, 60	ϣⲧⲁⲙ, ϣⲧⲟⲙ																
613	*ḥvtr'e(y)	ḥtr	AaBC'iw	Zwilling	235, 411, 436	ϩⲁⲧⲣⲉ	ⲁⲑⲣⲉ		ϩⲁⲧⲣⲉ													
615	*ḥ'etrvt	ḥtr	A'uBCit	Gespann	230	ϩⲁⲧⲣⲉⲥ																
619	*ḥvt'ar	ḥtr	AaB'aC	Verpflichtung, Zwang	42	ϩⲧⲟⲣ																
620				Stute	222	ϩⲧⲟⲟⲣⲉ, ϩⲧⲱⲣⲉ	ⲉϩⲑⲟⲣⲓ, ϩⲑⲟⲣⲓ				ⲉϩⲧⲁⲁⲣⲓ, ⲉϩⲧⲁⲣⲓ, ϩⲧⲁⲁⲣⲓ, ϩⲧⲁⲣⲓ											
621	*ḥ'a:tvr	ḥtr		Verpflichtung; Steuer; Abgabe; Notwendigkeit; Tribut; Abgabe	356, 501	ϩⲱⲧⲉ	ϩⲱϯ				ϩⲱϯ											
622				in Unruhe; erregt; bestürzt sein	no etym 197	ϣⲧⲟⲣⲧⲣ																
624	*ḥvṯṯ'at	ḥṯṯt	AaBC'at	Achselhöhle	122		ⲁϭⲟ															
627	*ḥuꜣ'i:tvj	ḥꜣt		erster	311, 855, 864	ϩⲟⲩⲉⲓⲧ, ϩⲟⲩⲓⲧ	ϩⲟⲩⲉⲓⲧ, ϩⲟⲩⲓⲧ		ϩⲟⲩⲉⲓⲧ, ϩⲟⲩⲓⲧ		ϩⲟⲩⲉⲓⲧ, ϩⲟⲩⲓⲧ											
629	*ḥuꜣ'i:tvt	ḥꜣt		erste; Anfang	311, 855, 864	ϩⲟⲩⲉⲓⲧⲉ, ϩⲟⲩⲓⲧⲉ, ϩⲟⲩⲁϯ																
630	*ḥ'atꜣvw	ḥtꜣ		Segel	368	ϩⲱⲧ	ϩⲱⲧ	ϩⲱⲧ	ϩⲱⲧ													
633	ḥ(w)nw	ḥnw		Pupille; Mädchen	687																	
634	*ꜣ'aḥyv(y)	ꜣḥy		Saqije	530		ⲓⲟϩⲓ															
635	*ḥ'aꜣy(e/uy)	ḥꜣy	A'aBCuw	Feld; Kanal; Wasserrad; Saqije	69, 438	ϩⲟⲓ																
636	*ḥvꜣ'aw	ḥꜣw		grösserer Teil	338, 877	ϩⲟⲩⲟ	ϩⲟⲩⲟ	ϩⲟⲩⲟ	ϩⲟⲩⲟ													
637	*ḥvꜣ'aw	ḥꜣw		grösserer Teil	338	ϩⲟⲉⲓⲧ, ϩⲟⲩⲟⲉⲓⲧ																
638	*ḥvꜣ'aw	ḥꜣw		grösserer Teil	338						ϩⲟⲩⲁⲓⲥⲧⲉ, ϩⲟⲩⲁⲥⲧⲉ											
639	*ḥvꜣ'aw	ḥꜣw		grösserer Teil	338						ⲉϩⲟⲩⲁⲥ, ϩⲟⲩⲁⲥ											
640	*ḥ'a:wvt	ḥw		Haus; Grab	476	ϩⲱ			ϩⲱ													
641	*ḫ'eꜣjv(y)	ḫꜣj	A'uBCiw	hoch; lang	180, 425	ϣⲁⲓ, ϣⲁⲓⲉ					ϣⲉⲓ											
642	*ḫvꜣ'e:yvt	ḫꜣy	AaB'u:Cut	Höhe; Länge	100	ϣⲓⲏ																
643	*ḫ'a:ꜣ(i)j	ḫꜣj	A'a:BiC	hoch; Höhe	130, 482	ϣⲱⲓ	ϣⲱⲓ				ϣⲱⲓ											
644	*ḫvꜣ'e/ijwvt	ḫꜣjw		Platte mit Untersatz; Altar; Räucherbecken	313, 388, 393, 516	ϣⲏⲩⲉ																
645	*ḫvꜣj'a:(y)vt	ḫꜣj	AaBC'a:wat	Topf	172, 859	ϣⲓⲱ	ϣⲓⲱ															
647	*ḫ'artv(y)	ḫrt		besessen werden, sein	664	ϣⲟⲉⲓⲧ	ϧⲟⲣⲧ															
650	*ḫ'e/ibj/yvt	ḫbjy		Schatten	330, 387, 389, 447, 892		ϧⲏⲃⲓ, ϧⲏⲓⲃⲓ				ϩⲏⲃⲓ, ϩⲏⲓⲃⲓ	ϩⲉⲓⲃⲉ										
651	*ḫ'e/ibj/yvt	ḫbjy		Schatten	330, 387, 389, 447, 892	ϩⲁⲉⲓⲃⲉⲥ, ϩⲁⲉⲓⲃⲥ																
654	*ẖ'eꜣ(y)vt	ẖꜣ	A'uBCvt	Bergwerk; Steinbruch; Grube	265	ϩⲏ																
655			AaBC'ij	demütig; demütiger Mensch	163		ⲑⲉⲃⲓⲉ															
656					163, 571		ⲑⲃⲃⲓⲟ															
657	*h'aꜣb(e/uw)	hꜣb	A'aBCuw	Sendung; Sache; Angelegenheit; Arbeit	65, 497	ϩⲱⲃ																
658	hꜣb	hꜣb		senden	65	ϩⲱⲃ																
663	*ḥvl'a:gv(y)	ḥlg	AiB'a:Caw	angenehm sein	108	ϩⲗⲱϭϥ																
664	*ḥvl'e:/u:gvt	ḥlg	AaB'u:Cut	Süssigkeit	100, 108	ϩⲗⲏϭⲉ																
665	ḥlk	ḥlk		süss werden	100, 108	ϩⲗⲟϭ																
667	*ẖ/š'a:m(a)ꜥ	ẖšmꜥ	A'a:BaC	dünn werden	37	ϩⲱⲱⲙⲉ																
668	*ḥ'eꜣpvt	ḥꜣp	A'uBCvt	Versteck; unterirdische; untere Kammer	265, 458		ϩⲏⲡⲓ															
676	*ḫvꜣt'a:rvw	ḫꜣtr		Ichneumon	365		ϣⲁⲑⲟⲩⲗ, ϣⲁⲑⲱⲗ							ⳉⲁⲧⲟⲩⲗ								
680	*ḫ'aꜣꜥ(ey)	ḫꜣꜥ	A'aBCiw	letzter; Ende	238, 411, 436, 676	ϩⲁⲉ, ϩⲁⲉⲉⲩⲉ, ϩⲁⲉⲩ, ϩⲁⲉⲩⲉ, ϩⲁⲓⲉ	ϧⲁⲉ, ϧⲁⲓⲉ	ⳉⲁⲉ			ϩⲁⲏ											
681	*ḫ'aꜣꜥywvw	ḫꜣꜥyw	A'aBCiw	letzter; Ende	238, 411, 436, 676	ϩⲁⲉⲉⲩ	ϧⲁⲉⲩ															
683	*ḫ'aꜣꜥv(y)	ḫꜣꜥ	A'aBCaw	Worfschaufel	170, 439, 440	ϩⲁ, ϩⲟ		ⳉⲁ														
687	*ḫ'e/iꜥjvt	ḫꜥj		aufgehen	396, 485	ϣⲁ	ϣⲁⲓ	ⳉⲁⲉ	ϣⲁⲓⲉ		ϣⲉⲉⲓ, ϣⲉⲓ											
689	*ḥ'aꜣmvt	ḥꜣm	A'aBCat	Angelhaken; Angel; Haken	124	ⲟⲉⲓⲙⲉ																
691	*ẖ'eꜥqvw	ẖꜥq	A'uBCiw	Barbier; Flickschneider	176, 351, 395, 598	ϩⲁⲁⲕ, ϩⲁⲕ																
692	*ẖvꜥ'eq; ẖvꜥ'aq	ẖꜥq; ẖꜥq	AaB'aC	Wolle	221, 598	ϩⲕⲁ																
693	*ẖ'aꜥqvt	ẖꜥq	A'aBCat	Kratzer; Schaber	124, 598						ϩⲁⲕⲓ											
694	*ẖ'a:qvꜥ	ẖqꜥ		scheren; Schur	124, 221, 598, 764	ϩⲱⲱⲕⲉ	ϧⲱⲕ, ϧⲱⲕⲓ, ϩⲱⲕⲓ															
695	*ẖ'aꜥqvt	ẖꜥq			598		ϩⲟⲕⲥ															
696	*ẖ'aꜥqvt	ẖꜥq	A'aBCat	Kratzer; Schaber	124, 598		ϩⲟⲕⲥ															
700	jbj	jbj	A'i:Bit	dürsten; durstig sein	51	ⲉⲓⲃⲉ																
704	*j(a)w'ef	jwf		Fleisch	435, 488, 642	ⲁϥ	ⲁϥ															
705	*jawf'a:yvw	jwfy		Fleisch	435, 488, 642	ⲁϥⲟⲩⲓ	ⲁϥⲟⲩⲓ				ⲁϥⲟⲩⲓ											
707	*jvg'e:/u:pvt	jgp	AaB'u:Cvt	Wolke	202	ϭⲏⲡⲉ	ϭⲓⲏⲡⲓ															
709	*jvḥ'ej/wwvw	jḥjw		Rind	413, 437, 447	ⲉϩⲉⲩ, ⲉϩⲟⲟⲩ	ⲉϩⲉⲩ, ⲉϩⲱⲟⲩ	ⲉϩⲉⲩ	ⲉϩⲁⲩ		ⲁϩⲁⲩ				ⲏϩⲁⲟⲩ							
710	*jvḥ'e(j/w)	jḥ		Rind	413, 437, 447	ⲉϩⲉ	ⲉϩⲉ															
711	*jah'am	jhm	AaB'aC	Seufzer	44, 443	ⲁϩⲟⲙ										ⲁϩⲁⲙ						
712	*ꜥ'eḫmvt	ꜥḫm	A'aBCat	Russ; Docht	224		ⲁϣⲙⲓ															
714	*jvḫ'a:mvt	jḫm	AaB'a:Cvt	Flussufer; Talwand	258	ϣⲱⲱⲙⲉ, ϣⲱⲙⲉ, ϣⲱⲙⲓ																
715	*jvḫ'e:mv(j)	jḫm	AaB'i:Cij/w	nicht kennend; Unwissender; der Junge; klein	196, 462	ϣⲏⲙ	ϣⲏⲙ	ⳉⲏⲙ	ϣⲏⲙ		ϣⲏⲙ											
716	*jvḥ'a:nvt	jḥn	AiB'a:Cvt	hohle Hand	156	ϩⲓⲱⲙⲉ																
717	*j'e/iwjvt	jwj		Kommen	393																	
718	*j'i:jvt	jj	A'i:Bit	kommen	51, 492	ⲉⲓ																
720	*jak'a:nv(y)	jkn	AaB'a:Cuw	Schale; Napf	186	ⲁⲕⲱⲛⲉ																
721	jkn(y)	jkn		Schale; Napf	711	ⲁϭⲟⲛ			ⲁϭⲁⲛ													
722	*jam'e:/ujvj/w	jmjjw		kommt!	496, 497	ⲁⲙⲏⲉⲓⲧⲛ, ⲁⲙⲏⲓⲧⲛ		ⲁⲙⲏⲉⲓⲛⲉ, ⲁⲙⲏⲓⲛ, ⲁⲙⲏⲓⲛⲉ	ⲁⲙⲏⲉⲓⲛⲉ, ⲁⲙⲏⲓⲛⲉ													
723	*jam'a:j(vw)	jmj		komm!	487	ⲁⲙⲟⲩ	ⲁⲙⲟⲩ	ⲁⲙⲟⲩ	ⲁⲙⲟⲩ		ⲁⲙⲟⲩ											
724	*jam'ew	jmw	AaB'u:Cvw	Eule; kleine Eule	201		ⲕⲁⲕⲕⲁⲙⲁⲩ															
725	*jvm'ej	jmj		nimm!	413		ⲙⲉ															
726	*jvm'e:/u:(j)v(j/w)	jm		nehmt!	496, 497	ⲙⲙⲏⲉⲓⲧⲛ						ⲙⲙⲏⲉⲓⲛⲉ										
727	*jvm'a(j)	jm		nehmt!	496, 497	ⲙⲟ						ⲙⲙⲁ										
730	*jam'entvt	jmnt		Westen	312	ⲁⲙⲛⲧⲉ		ⲁⲙⲛⲧⲉ														
