TLA__ID	TLA__form	TLA__meaning_en	TLA__meaning_de
107170	ḥnk	[an instrument]	[ein Gerät]
107050	ḥnk.yt	with braided hair	die mit der Haarflechte
107240	ḥnk.yt	bed; bed linens (?)	Bett; Bettauflage
107210	ḥnk.t	bedchamber	Schlafzimmer (?); Salon (?)
107220	ḥnk.t	braided lock of hair	Haarflechte
107040	Ḥnk.tj	He-with(-braided)-sidelock	Der mit der Haarflechte
107300	ḥnk.tj	braided one (uraeus)	Haarflechte (Bez. der Uräusschlange)
854751	ḥnk.tj		mit einer Haarflechte versehen; bezopft
856847	ḥnk.tj		Bezopfter
853605	Ḥnk.tjw	those with braided hair (pl.)	Die mit der Haarlocke (Pl.)
856848	ḥnk.tjt		Bezopfte
107310	ḥnk.tyt	one with braided hair (Hathor; Isis; Nephthys)	die Bezopfte (besonders Hathor)
853606	Ḥnk.tyty	the two with braided hair (Isis and Nephthys)	die beiden mit der Haarlocke (Isis und Nephthys)
74120	mḥnk	rewarded person; intimate	Beschenkter; Vertrauter
855703	mḥnk		Beschenkter; Vertrauter
dm3036	hrq		Perücke
d3847	hrk(.t)		Perücke(?)
d3865	hlk		umgürten
107260	ḥnk.w	scale-pan (of a balance)	Waagschale
dm4874	ḥnq		Opfer
d4258	ḥlg		umarmen
dm460	ḥq		opfern (*ḥnk)
880187	ḥnk		Geschenk
123480	ẖnm	offspring (?)	Nachkömmling (?)
123500	ẖnm.t	nurse (Hathor; Isis; Nephthys)	Amme
123510	ẖnm.t	nurse (priestess of Khnum)	Priesterin (im Gau Arsinoe)
118040	ḫnm	to breathe in (a pleasant smell)	riechen; einatmen
118050	ḫnm	to gladden; to be glad	erfreuen; froh sein; genießen
118070	ḫnm	to treat (with an ointment) (med.)	(jmdn.) mit Salbe behandeln (o. Ä.)
118110	ḫnm.t	harlot (lit. pleasure giver)	Dirne
118230	ḫnm.w	smell (usually pleasant)	Geruch
123550	ẖnm.t	well; watering place	Brunnen; Wasserstelle
123560	ẖnm.t	well	Becken (?) (für Bewässerung)
118160	ḫnm.t	well; cistern	Brunnen
118170	ḫnm.t	[a ritual vessel for liquids]	[Krug für Wasser (im Kult)]
118280	ḫnms	mosquito (or gnat?)	Mücke
98810	hnn	to nod; to assent to	neigen; beugen; zustimmen
123700	ẖnn	to trouble; to decay (med.)	stören; faulen
123720	ẖnn	to be inflamed (med.); to decay	entzündet sein; faulen
123710	ẖnn	to be disturbed	in Unordnung sein (von Gliedern)
123110	ẖn	to approach	herantreten
117850	ḫnp	to steal; to catch; to present	rauben; auffangen; darbringen; auslösen
117860	ḫnp	to take in air (i.e. breathe)	einatmen (Luft, Licht)
117870	ḫnp	to take in (water) (i.e. to drink)	Wasser trinken
107070	ḥnq	foam; ferment (?)	Flüssigkeit (die aus dem Toten austritt)
107090	ḥnq	beer	Bier
110300	ḥnq.t	beer	Bier
118320	ḫnr	to restrain	einsperren; absperren
118330	ḫnr	prisoner	Gefangener
118340	ḫnr	criminal	Verbrecher
118350	ḫnr	harem (the institution)	Harem (Inst.); Haremsinsassen (Koll.)
118360	ḫnr	reins	Zügel
118490	ḫnr.yt	woman of the harem	Haremsdame; Musikantin (Vergnügungsdame)
118390	ḫnr	to scatter; to disperse	zerstreuen; verbreiten
118400	ḫnr	to scatter; to disperse	(Hand) verweigern
118370	ḫnr	spike (for splitting stone); chisel	Spitzhacke; Meißel
118380	ḫnr	fangs (Sem. loan word)	Zahn (des Löwen)
118400	ḫnr	to scatter; to disperse	(Hand) verweigern
d4588	ḫl		rauben, plündern; verstreuen
dm1203	ꜥh̭l		[etwas Unangenehmes]
d1089	ꜥḫl		Unrecht, Vergehen
118390	ḫnr	to scatter; to disperse	zerstreuen; verbreiten
d3556	rḫn(j)		Schlafzimmer; Lüstling(?)
118410	ḫnr	to be hoarse (Sem. loan word)	heiser sein
118720	Ḫns.w	Khons	Chons
118730	ḫnš	to stink	stinken
107380	ḥntꜣsw	lizard (med.)	Eidechse
98240	hp	law; ordinance	Gesetz; Vorschrift
98270	hp.w	law; ordinance	Erlasse
856808	ḥp.j		zu Apis Gehöriger
104000	Ḥp	Apis	Apis
116230	ḫpr	to come into being; to become; to occur	werden; entstehen; geschehen; existieren
116240	ḫpr	form; essence	Wesen (eines Gottes)
116270	ḫpr.t	event (lit. that which happens); that which comes into being	Ereignis; Werdendes; Gewordenes
116280	ḫpr.t	creation	Schöpfung
116300	ḫpr.w	mode of being; form; transformation	Entstandenes; Gestalt; Werden; Entwicklung
70024	ḫpr	to bring into being; to bring about	erschaffen; erzeugen
120160	ḫrp	to bring; to provide	herbeibringen; darbringen
120150	ḫrp	to govern; to control; to administer	leiten; beaufsichtigen
116430	ḫpš	foreleg; thigh	Vorderschenkel; Schenkel (allg.); Arm
116440	ḫpš	Great Bear (the constellation)	[Sternbild des Großen Bären]
116450	ḫpš	strong arm; power; strength	Arm; Kraft
116510	ḫpš	he whose arm is strong (the creator god)	der Arm (Bez. des Demiurgen)
116520	ḫpš.y	armed with a sword (king)	Schwertbewaffneter (vom König)
122880	ẖpꜣ	navel	Nabel; Nabelschnur
110540	ḥqr	to be hungry; to fast (med.)	hungern; fasten
110550	ḥqr	hungry man	Hungriger
110560	ḥqr	hunger	Hunger
110570	ḥqr	famine	Hungersnot
110590	ḥqr.t	those who hunger	die Hungernden (Koll.)
110600	ḥqr.w	famine	das Hungern
110440	ḥqꜣ.t	bushel (a corn measure, 10 hin)	Scheffel (Hohlmaß, 10 Hin)
99060	hrw	day	Tag
99070	hrw	ready today (grain for harvesting)	heute fällig sein (von der Getreideernte)
99160	hrw.yt	day-book; journal	Tagebuch; Rechtsurkunde
d3837	hrw		"Tag; (vgl. auch unter pꜣ-hrw ""heute""!)"
d3774	hwlj		Tagebuch, Register
879698	hrw		Tag
400090	ḥr	on; upon; up	auf; über; vor; hinter; [lokal]
400109	hru̯	peaceful; pleasing; content	zufrieden; ruhig; angenehm
856925	hr		Zufriedener
99050	hru̯	to be pleased; to be at peace; to be content	zufrieden sein; angenehm sein
98990	hr.t	peace	Zufriedenheit; Ruhe
85750	nhrhr	[a negative trait]	Selbstzufriedenheit (?)
dm7689	hr		Vergnügen, Zufriedenheit
98920	hr	(wooded) highlands	Waldgebirge (?)
d3772	hwr(j)		[eine Pflanze]
d4005	ḥwr		[Pflanze]
d4009	ḥwrṱ.t		[Pflanze]
99020	hr.j	[a plant (med.)]	Endivie (?)
856208	hrhr	rejoice	zufrieden sein (?)
d3831	hr(e)		zufrieden sein
140180	shru̯	to make content; to satisfy	zufriedenstellen; beruhigen; erfreuen
851901	shrr		"Friedensstifter (""Der zufrieden macht"")"
d5441	shr(j)		zufriedenstellen, besänftigen
d5442	shr		Räucherbecken
d5444	shre		[harzige Substanz]
dm8091	shrr		[aromatische Substanz o.ä.]
140160	shr.t	[a mineral (for amulets, also med.)]	grüner Bernstein (Harz der Akazie)
d2589	mhn		Milchkanne; Brandstempel in Form einer Milchkanne
99010	hrj	to milk (?)	melken (?)
73210	mhr	milk jar	Milchkrug
73220	mhr	to milk; to suckle	melken
73240	mhr	milker (dairy worker)	Melker
73250	mhr	suckling; child	Säugling
73160	mhwj	[a liquid (med.)]	[Milchprodukt (offizinell)]
140980	sḥri̯	to drive away; to exorcise (evil); to make distant	(sich) fernhalten; entfernen; vertreiben
107720	ḥrti̯	to travel overland	zu Lande reisen
108340	ḥri̯	to be far (from); to remove (oneself)	(sich) fernhalten; entfernen
109180	ḥrḥr	to guard; to keep	bewachen; hüten
108360	ḥri̯	to dread; to instill dread	sich ängstigen; (jmdn.) erschrecken
108390	ḥr.yt	fear; dread	Schrecken
109010	ḥr.w	terror; dread, respect	Schrecken; Hinterhältigkeit; Respekt
107510	ḥr	face; sight	Gesicht; Ansicht; Aufmerksamkeit; Vorderseite
107520	ḥr	[preposition]	[Präposition]
107521	ḥr	to; towards; from (provenance)	von ... her (Herkunft); hin zu; gegen (Richtung); [räumlich/gerichtet]
107529	ḥr	[with infinitive]	[mit Infinitiv]; [Bildungselement des Präsens I]
107530	ḥr	because	weil (Konjunktion)
107600	ḥr	face (a mirror)	[Bez. des Spiegels]
107630	ḥr.t	upper side	Oberseite
107650	ḥr.t	high inundation	Überschwemmung
107680	ḥr.t	roof (of a temple)	Dach des Tempels
108300	ḥr.j	being upon; being above; uppermost	befindlich über; befindlich auf; oberer
108310	ḥr.j	supervisor; chieftain	Oberster; Vorgesetzter
108330	ḥr.j	upper (part) (pyramid plus mortuary temple?)	der Obere (Totentempel mit Pyramide)
108440	ḥr.j	who is above; who is in the east	der oben ist; der im Osten ist
108470	ḥr.jw	those-who-are-above (stars)	[Bez. der Sterne]
108480	ḥr.jw	those-who-are-above (birds)	[essbares Geflügel]
108490	ḥr.jw	masters	Herren; Vorgesetzte
108990	ḥr.w	upper part; top	Oberseite
400090	ḥr	on; upon; up	auf; über; vor; hinter; [lokal]
400091	ḥr	at (the time of); in (temp., duration)	zur (Zeit von); in (temp.); [temporal]
400092	ḥr	on account of; concerning	wegen; für (Grund); in Hinsicht auf (Bezug); [kausal]
400093	ḥr	and (to coordinate nouns); with	und (zur Koordination zweier Subst.); mit
107720	ḥrti̯	to travel overland	zu Lande reisen
108340	ḥri̯	to be far (from); to remove (oneself)	(sich) fernhalten; entfernen
108370	ḥr	canal (Sem. loan word)	[ein Gewässer]
107510	ḥr	face; sight	Gesicht; Ansicht; Aufmerksamkeit; Vorderseite
107600	ḥr	face (a mirror)	[Bez. des Spiegels]
107760	ḥr.w	people	"Menschen (""Gesichter"")"
107520	ḥr	[preposition]	[Präposition]
107521	ḥr	to; towards; from (provenance)	von ... her (Herkunft); hin zu; gegen (Richtung); [räumlich/gerichtet]
107529	ḥr	[with infinitive]	[mit Infinitiv]; [Bildungselement des Präsens I]
107530	ḥr	because	weil (Konjunktion)
107630	ḥr.t	upper side	Oberseite
107650	ḥr.t	high inundation	Überschwemmung
107680	ḥr.t	roof (of a temple)	Dach des Tempels
108300	ḥr.j	being upon; being above; uppermost	befindlich über; befindlich auf; oberer
108310	ḥr.j	supervisor; chieftain	Oberster; Vorgesetzter
108330	ḥr.j	upper (part) (pyramid plus mortuary temple?)	der Obere (Totentempel mit Pyramide)
108440	ḥr.j	who is above; who is in the east	der oben ist; der im Osten ist
108470	ḥr.jw	those-who-are-above (stars)	[Bez. der Sterne]
108480	ḥr.jw	those-who-are-above (birds)	[essbares Geflügel]
108490	ḥr.jw	masters	Herren; Vorgesetzte
108990	ḥr.w	upper part; top	Oberseite
400090	ḥr	on; upon; up	auf; über; vor; hinter; [lokal]
400091	ḥr	at (the time of); in (temp., duration)	zur (Zeit von); in (temp.); [temporal]
400092	ḥr	on account of; concerning	wegen; für (Grund); in Hinsicht auf (Bezug); [kausal]
400093	ḥr	and (to coordinate nouns); with	und (zur Koordination zweier Subst.); mit
108410	ḥry.t		Dung
99020	hr.j	[a plant (med.)]	Endivie (?)
108400	ḥry.t	smelting oven	Schmelzofen
852039	ḥr.wj		"horisch (""zu Horus gehörig"")"
107500	ḥr.w	Horus 	Horus 
400034	ḥr.w	Horus (as the first element of the king's titulary)	Horus (Horusname der Königstitulatur)
850587	ḥr.w	Horus (the king)	Horus (der König) (bildl., selbstständig gebraucht)
119610	ḫr	to fall; to fell	fallen; fällen
119870	ḫry	myrrh	[Myrrhe]
114140	ḫꜣrw	Syria	Syrien
114150	ḫꜣrw.j	Syrian	Syrer
120420	ḫrḫr	to upset; to overturn	zerstören; ausschütten
120430	ḫrḫr	to upset; to overturn	fortblasen; zerstreuen
120440	ḫrḫr.t	destruction (?)	Zerstörung
120450	ḫrḫr.t	destruction	Zerstörung(en); Streit
119610	ḫr	to fall; to fell	fallen; fällen
119590	ḫr	with (someone)	bei (jmdm.) (meist Höhergestelltem)
400036	ḫr	under (the majesty of (temp.)); for (eternity)	bis; unter (der Majestät)
80012	ḫr	to (someone)	zu (jmdm.) (Richtung)
850795	ḫr	with	[Präposition]
120010	ḫrw	voice; sound; quarrel	Stimme; Geräusch; Zank; Krach
600211	ḫru̯	to say; to tell	sagen
119570	ḫr	street; road; quarter (Sem. loan word)	Straße; Gasse
d4802	ẖr		Weg, Straße; Öffentlichkeit
d4850	ẖr(j)		Straße
d4724	ẖjrẖr		Straßen (o.ä.)
dm5544	ẖrj.t		Gasse(?)
124480	ẖrd	child	Kind
124490	ẖrd	young (of an animal)	Junges
124500	ẖrd	daughter	Tochter (weibl. Kind)
124510	ẖrd	to be a child	Kind sein
124520	ẖrd.t		Kinderschar (Koll.)
124530	ẖrd.w	young people	junge Leute
124540	ẖrd.w	childhood	Kindheit
854539	ẖrd		Kind; Junges
858312	ẖrd.wt		Kindheit
143690	sẖrd	to make young	verjüngen
d4870	ẖrd(.ṱ)		Kind; göttliches Kind; Junge (von Tieren)
123910	ẖr	under (spatial, metaph.)	unter (lokal); unter (der Aufsicht); unter (idiom.)
123930	ẖr.jw	relatives; underlings (of a household)	Angehörige (eines Hausverbandes)
123940	ẖr.t	belongings; share; requirements	Bedarf; Anteil; Pflicht; Verlauf
123950	ẖr.t	hereafter	Jenseits
124220	ẖr.j	being under: lower	befindlich unter; unterer
124240	ẖr.jw	humankind	"die Menschen (die ""Unteren"")"
124420	ẖr.w	base; bottom; under-side	Unterseite
124430	ẖr.wj	testicles	Hoden
850794	ẖr	under	unter; infolge von
113800	ḫꜣt	to become ecstatic	rasen; in Verzückung sein
124440	ẖrb		sich verwandeln
116300	ḫpr.w	mode of being; form; transformation	Entstandenes; Gestalt; Werden; Entwicklung
120500	ḫrd	veils; thin cloth	Ballen (von Leinen); Maßeinheit (für Stoff)
d4584	ḫrḏ		Zähneknirschen
99170	hrp	to sink; to be immersed	untersinken; einsinken; unterdrücken
120180	ḫrp		(am Morgen) aufbrechen
120140	ḫrp	herep-scepter	[ein Zepter]
120150	ḫrp	to govern; to control; to administer	leiten; beaufsichtigen
120160	ḫrp	to bring; to provide	herbeibringen; darbringen
120170	ḫrp	to be forward of	voran sein
120190	ḫrp	director	Leiter
120200	ḫrp	dues; taxes	Abgabe
120210	ḫrp.t	levy (in the form of cattle)	[Bez. für Zinsrinder]
120320	ḫrp.wt	dues; taxes	pflichtmäßige Lieferungen
120140	ḫrp	herep-scepter	[ein Zepter]
109120	ḥrr.t	(small creeping and/or crawling) creatures (generic term); worm (med.)	Gewürm
109150	ḥrr.w	worm	[Eingeweidewürmer]
109160	ḥrrt	[a kind of insect]	[Insekt an faulem Fleisch]
109110	ḥrr.t	flower	Blume; Blüte
120400	ḫrr	[a divine being]	[Gottheit]
d4240	ḥrš		schwer sein
dm1411	ḥrš		(mit folgendem lh̭) Riesennarr (o.ä.)
d4256	ḥlš		schwer ('= ḥrš)
120460	ḫrš	bundle(s)	Bund (Kraut, Gemüse)
120470	ḫrš.t	bundle	Bündel (Pfeile)
d4580	ḫrš		Bund, Bündel
d4577	ḫrš		Schaden, Fehlschlag (o.ä.)
d4672	h̭rš		Fehler, Defekt
874349	ḫrš		[zusammendrücken]
119630	ḫr	to spit out	ausspucken, speien
120490	ḫrṯ	to kill	(Feinde) töten (o. Ä.)
109370	ḥs	excrement	Exkremente, Kot
858423	ḥs		beschmutzen
d4264	ḥs		Lehm, Kot, Mist
74140	mḥs	[an external illness affecting the head]	[eine äußerliche Krankheit am Kopf]
74160	mḥsḥs	[term of abuse]	[eine Personenbezeichnung (Schimpfwort ?)]
109340	ḥz.t	favor	Gunst
109620	ḥzi̯	to praise; to favor	loben; begünstigen
109630	ḥz.y	statue	Statue
109640	ḥzi̯	to turn back; to turn away (the evil-doer)	sich begeben; (jmdn.) heranbringen; entgegentreten (feindlich)
109660	ḥz.yt	praised one	Gelobte; Belobte
109750	ḥz.y	praised one	Gelobter; Belobter
109760	ḥz.w	praised one	Gelobter; Belobter
109770	ḥzw	favor; praise	Gunst
109790	ḥz.wt	praised one	die Gelobte
109800	ḥzw.t	favor; praise	Gunst; Belohnung
856479	ḥz.y		Gelobter; Belobter; Glückseliger
109420	ḥz.t		[Unterabteilung einer Phyle]
109410	ḥz.tt	[a kind of timber used in boat-building]	[Holz zum Schiffsbau]
109670	ḥzy.tj		Günstling
68730	ḥzw.tj	favorite	bevorzugt
110180	ḥzz.t	what is praisworthy	Gelobtes; Gebilligtes
d4266	ḥs		Gelobter; Ertrunkener; Heiliger
d4265	ḥs(e)		loben, preisen; belohnen; gefallen
d4270	ḥs(e)(.t)		Lob, Preis, Gunst
dm7809	ḥs		Lob, Preis, Lobpreisung
dm7526	ḥs(.t)		Gelobte (vgl. ḥs)
141040	sḥzi̯		bezaubern
109390	ḥs.t	song; singing	Gesang; Lied
109400	ḥs.t	singer	Sängerin
109430	ḥs.w	singer	Sänger
109680	ḥsi̯	to sing; to make music	singen
855743	ḥs.w		Sänger
855744	ḥs.t		Sängerin
d4267	ḥs		Gesang, Lied
dm7815	ḥs		singen
dm887	ḥs		Sänger
124600	ẖzi̯	to be weak	schwach sein; elend sein
124610	ẖz	coward; vile person	Schwacher; Elender
124640	ẖz.yt	cowardice; (ritual) impurity	Schwäche; Feigheit
400267	ẖz	weak; vile	elend; schwach
860396	ḥsb	ground	Boden
121160	ḫšb	to mutilate	verstümmeln
120790	ḫsf	to oppose; to repel	abwehren; abweisen
120791	ḫsf	to contend against	entgegentreten (vor Gericht)
120880	ḫsf.t	punishment	Strafe
650004	ḫsf	to punish	strafen
110020	ḥzmn	natron	Natron
110030	ḥzmn	to cleanse; to purify	sich reinigen; reinigen
110040	ḥzmn	menstruation; to menstruate	Menstruation
110090	ḥzmn.t	menstruating woman	Menstruierende
600346	ḥzmn	[worker involved in extracting natron]	Natronarbeiter
110160	Ḥsr.t	Heseret (sacred precinct of Hermopolis)	Heseret (heiliger Bezirk von Hermupolis)
109550	ḥsꜣ	thread	Faden
112040	ḥṯ.t	hyena	Hyäne
121300	ḫt.wt	wooden things (furniture?)	Holzsachen
121910	ḫt.t	carvings	Gravur, Inschrift
450153	ḫt.yt	wooden things (furniture?)	Hölzernes
121610	ḫt.w	threshing floor	Tenne
124910	ẖtẖt	inquirers (mil.)	Untersuchungsbeamter; Rekrutierer (milit.)
124920	ẖtẖt	to examine	untersuchen
122080	ẖ.t	body; belly; womb	Leib; Bauch; Art; Weise
122090	ẖ.t	body (of gods; of men); generation	Körperschaft; Generation
122100	ẖ.t	mass (of a substance)	Masse (bei Kyphirezepten)
122110	ẖ.t	section (of a building)	Abschnitt (eines Gebäudes); Gebäudeteil
111750	ḥtm.yt	place of execution (in the nether world)	Richtstätte (in der Unterwelt)
111740	Ḥtm.wt	Destroyer	Die Vernichtende
111600	ḥtm	to destroy; to be destroyed	vernichten; vergehen
111620	ḥtm	destroyer	Vernichter
111640	ḥtm	[Seth as hippopotamus]	das zu Vernichtende (Nilpferdes als Feind des Horus)
111750	ḥtm.yt	place of execution (in the nether world)	Richtstätte (in der Unterwelt)
500195	ḥtm	destruction	Vernichtung
121690	ḫtm	seal; sealing; sealing cylinder	Siegel; Siegelabdruck; Siegelzylinder
121710	ḫtm	to seal; to put a seal on	siegeln; verschließen; umschließen
121720	ḫtm	chest (that can be sealed shut); storehouse (sealed)	verschließbarer Kasten; Tresor; verschlossenes Lager
121730	ḫtm	fastener (seal, lock)	Verschluss
121740	ḫtm	fortress	Festung
121750	ḫtm	seal	Vertrag
121760	ḫtm	valuables (?)	Grundbesitz
121780	ḫtm.w	inscriptions	Vorschriften; Inschriften
121790	ḫtm	inscriptions	mit Beischriften versehen (Götterbilder)
121820	ḫtm.t	finger ring	Ring für Finger
121830	ḫtm.t	contract	Vertrag
121840	ḫtm.w	seal maker; sealer (?)	Siegelmacher; Siegler (?)
150290	ḫtm	precious (?)	kostbar
150350	ḫtm.w	sealer	Siegler
850597	ḫtm.t	treasure (lit. what is sealed)	Schatz; versiegelte Kostbarkeiten; Versiegeltes
121920	ḫṯn	[a vegetable (lettuce? garlic?) (Sem. loan word)]	Knoblauch
111230	ḥtp	to be pleased; to be content; to make content; to set (of the sun)	zufrieden sein; ruhen; untergehen; zufriedenstellen; sich sättigen 
111300	ḥtp	basket	Korb
111400	ḥtp.t	bowl (for bread)	[ein Brot]
500193	ḥtp.w	setting (of the sun)	Untergang (der Sonne)
111250	ḥtp	mercy	Gnade
500212	ḥtp.tjw	ones who are provided with offerings (the blessed dead)	[Bez. der seligen Toten] 
111290	ḥtp	Contented-one	Zufriedener 
111310	ḥtp	floral offering	Blumen (beim Opfer) 
111320	ḥtp	incense	Weihrauch (?) 
111550	ḥtp.yt	merciful one	Die Gnädige 
111350	ḥtp.t	offering table	Opfertafel
111360	ḥtp.t	offerings	Speisen; Opfer
111370	ḥtp.t	peace	Frieden; Glück
111380	ḥtp.t	(a priestess)	Priesterin
111390	ḥtp.t	Hetepet	Hetepet (Ort bei Heliopolis, Hathorheiligtum)
111210	ḥpt	offering table	Opfertafel; Opferaltar
111220	ḥtp	food offerings	Speiseopfer
400524	ḥtp	offering (gen.)	Opfergabe (allg.)
111790	ḥtr	twin	Zwilling
111800	ḥtr	yoke of oxen; team (gen.)	Rindergespann; Gespann (allg.)
111810	ḥtr	team of horses; steeds; chariotry	Pferdegespann; Pferde
111820	ḥtr.w	door jambs	Türlaibungen
111850	ḥtr	lashings	Bindung; Seil
111860	ḥtr	to bind together	binden; zusammenbinden
600012	ḥtr	pair	Paar
111830	ḥtr	to tax; to assess	verpflichten; zinspflichtig machen; zinsen
111840	ḥtr	revenue; wages	Pflichtabgabe; Einkommen
111880	ḥtr	bird cage	Vogelkäfig
111910	ḥtr.w	tax collector	die Steuererheber
600478	ḥtr	[basketwork]	[Flechtwerk]
121870	ḫtr	[verb]	[Verb]
100110	ḥꜣ	back of the head	Hinterkopf
100120	ḥꜣ	back (of something); exterior	Rückseite; Hinterseite; Außenseite; das Hinten
100130	ḥꜣ	behind; around	hinter
100140	ḥꜣ	(a)round	herum
100660	ḥꜣ.j	surrounding; being behind	befindlich um; hinten befindlich
112140	ḥṯṯ.t	armpit	Achsel; Schulter
112150	ḥṯṯ.t	mast-step? (naut.)	Mastschuh (beim Schiff)
868553	ḥṯṯ.t		Auflager
100310	ḥꜣ.t	forepart; beginning; foremost; best	Vorderseite; Anfang; Bestes; Spitze
100320	ḥꜣ.t	before	vor (jndm.) (lok.); vor (temp.)
100350	ḥꜣ.t	best (wine)	[Bez. für Wein]
100360	ḥꜣ.t	[an amulet shaped like the forepart of a lion]	[Gegenstand in Form eines Löwenvorderteils]
100380	ḥꜣ.t	Forward (a phyle)	die Vordere (Unterabteilung einer Phyle)
101090	ḥꜣ.w	vintage	Weinlese
101130	ḥꜣw.t	face (of a god)	Antlitz (des Gottes)
101140	ḥꜣ.wt	the first ones	die Ersten
111070	ḥtꜣ.w	sail	Segel
111080	ḥtꜣ.wt	sail	Segel
100720	ḥꜣ.y	naked man	Nackter
100790	ḥꜣ.yt	nakedness	Nacktheit
101050	ḥꜣ.w	naked man	Nackter
103020	ḥwn.w	child; youth; young man	Knabe; Jüngling; Kind
103030	ḥwn	young man (priest's title in Dendera)	Priester (in Dendera)
103040	ḥwn	to become young; to be rejuvenated	jung werden; verjüngen
103050	ḥwn	youthful	jugendlich
103060	ḥwn	childhood; youth	Kindheit; Jugend; Jugendlichkeit
103080	ḥwn.wt	girl; maiden	Mädchen
103090	ḥwn.wt	yougn lioness (Tefnut)	junge Löwin (Tefnut)
103110	ḥwn.w	young crocodile	junge Krokodile
500417	ḥwn.w	The-youth	der Jüngling
500613	ḥwn.wt	maiden (goddesses )	junges Mädchen (Isis, Hathor u.a.)
855867	ḥwn.wt	young lioness	junge Löwin
100690	ḥꜣy	to overflow	fließen; überfluten
100700	ḥꜣy	flood	Überschwemmung
100770	ḥꜣy.t	sheet of shallow inundation water overlying the ground	Schlamm; bewässerte Stelle; Flutwasser
101060	ḥꜣ.w	increase; surplus	Zuwachs; Vermehrung; Übermaß
101060	ḥꜣ.w	increase; surplus	Zuwachs; Vermehrung; Übermaß
101080	ḥꜣ.w	excess (of blood; of urine) (med.)	[eine Krankheitserscheinung]
100280	ḥꜣ.t	tomb	Grab
114460	ḫyi̯	to be high; to mount up	hoch sein; steigen; hochheben
113500	ḫꜣy.t	altar	Altar
113720	ḫꜣw.t	altar	Opferplatte; Altar
113220	ḫꜣ.y	[measure of area]; [measure of capacity]	[ein Flächenmaß]; [ein Hohlmaß]
113690	ḫꜣ.w	bowl	Messnapf
113730	ḫꜣw.t	[an implement (of copper)]	[ein Gerät (aus Kupfer)]
113110	ḫꜣ	thousand	Tausend; tausend
113800	ḫꜣt	to become ecstatic	rasen; in Verzückung sein
113190	ḫꜣ	winding?	[Gewässer am Himmel]
113230	ḫꜣ	road; path	Weg
113760	ḫꜣwj	benighted traveller	Abendwanderer
113100	ḫꜣ	leaf	Blatt (mit Stängel und Rhizom)
113180	ḫꜣ	hall; office	Halle; Büro
114240	ḫꜣḫꜣ	itch	Jucken
122230	ẖꜣ.t	[a mineral (lit. quarried thing]	[Bez. der Steine der Berge]
122280	ẖꜣ.t	quarry; mining region	Bergwerk; Steinbruch
98060	hb	to tread	Furche ziehen
550085	hꜣb	letter; communication	Sendung; Brief
97580	hꜣb	to send	aussenden
97610	hꜣb.w	envoys (?)	die Gesandten
103350	ḥꜣb	catch (of fish, of fowl)	Fisch- und Vogelfang; Fangertrag
850109	ḥꜣb	to fish	fischen
101770	ḥꜣd	trap (esp. for fish)	Korb-Reuse (Fischfalle)
101780	ḥꜣd	to trap (fish)	(mit der Reuse) fischen
101800	ḥꜣd.t	[a basket (also as a measure of capacity for vegetables)]	[ein Korb (als Maß für Gemüse)]
101810	ḥꜣd.t	basket; container (as a unit of capacity for vegetables)	[Substantiv]
114380	ḫꜣd	to pluck (fowl)	(Geflügel) rupfen
114400	ḫꜣd	to disintegrate	zerstört werden; zerfallen sein; locker sein
101610	ḥꜣg	to be glad	froh sein
97640	hꜣmw	suffering	Leiden (o. Ä.)
101300	ḥꜣp	to hide; to keep secret	verbergen; geheim halten
101310	ḥꜣp	[secret place (?)]	[vom verborgenen Inhalt der Berge]
101330	ḥꜣp.t	hiding place	Versteck
110340	ḥqꜣ	to rule; to govern	herrschen; beherrschen
122600	ẖꜣr.t	widow	Witwe
858929	ẖꜣr.tj		die beiden Witwen
852173	ḫꜣs		Spiraldraht der roten Krone (?)
100430	ḥꜣ.tj	the first; foremost	erster; vorausgehender
101680	ḥꜣtj	covering; garment	Hülle
101690	ḥꜣtj	cloudiness	Verhüllung; Bewölkung
101710	ḥꜣtj	[something thrown over an enemy's head]	[über den Kopf des Feindes Geworfenes]
114370	Ḫꜣtrw	mongoose (Sem. loan word)	Ichneumon
97740	hꜣṯs	[a jar]	[ein Krug (aus Quarz für Wein)]
550026	hꜣw	affairs; belongings	Angelegenheit; Besitz
97500	hꜣ.w	corvée worker	die Arbeiter; Dienstpflichtige
113560	ḫꜣꜥ	to throw; to abandon; to dispatch	werfen; legen; verlassen; ausscheiden
113570	ḫꜣꜥ	discharge (?)	harnen
113590	ḫꜣꜥ.w	[discharge (?) as woman's medical condition (or symptom)]	Ausscheidung
101950	ḥꜥ.w	flesh; limbs; body; self	Körper; Leib; Fleisch; Selbst
859149	ḥꜥ	flesh	Fleisch; Glied
600592	ḫꜥ.w	[a basket (?)]	[ein Korb]
114610	ḫꜥ	hill	Erdhügel
114670	ḫꜥ.t	primeval hill	Urhügel
114740	ḫꜥi̯	to appear (in glory); to be shining	aufgehen; erscheinen; glänzen
114750	ḫꜥi̯		gebären (von Nut)
114760	ḫꜥ.y		der Erscheinende
114770	ḫꜥ.y	crown	Krone
114790	ḫꜥy.t		die Erscheinende
114820	ḫꜥj.t	appearance	Erscheinung
114840	ḫꜥ.w	rising (of stars); appearance (of gods)	Aufgang (der Gestirne); Erscheinen (der Götter)
